run_id,lactinv_sample_id,bmc_sample_id,lane1,lane2
230202YilA,202306898,D23-115001,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115001-1-6110F/230202YilA_D23-115001-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115001-2-6110F/230202YilA_D23-115001-2_phiX_bestmap.bam
230202YilA,202304978,D23-115002,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115002-1-6110F/230202YilA_D23-115002-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115002-2-6110F/230202YilA_D23-115002-2_phiX_bestmap.bam
230202YilA,202304975,D23-115003,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115003-1-6110F/230202YilA_D23-115003-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115003-2-6110F/230202YilA_D23-115003-2_phiX_bestmap.bam
230202YilA,202306895,D23-115004,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115004-1-6110F/230202YilA_D23-115004-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115004-2-6110F/230202YilA_D23-115004-2_phiX_bestmap.bam
230202YilA,202306990,D23-115005,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115005-1-6110F/230202YilA_D23-115005-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115005-2-6110F/230202YilA_D23-115005-2_phiX_bestmap.bam
230202YilA,202306862,D23-115006,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115006-1-6110F/230202YilA_D23-115006-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115006-2-6110F/230202YilA_D23-115006-2_phiX_bestmap.bam
230202YilA,202306882,D23-115007,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115007-1-6110F/230202YilA_D23-115007-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115007-2-6110F/230202YilA_D23-115007-2_phiX_bestmap.bam
230202YilA,202304685,D23-115008,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115008-1-6110F/230202YilA_D23-115008-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115008-2-6110F/230202YilA_D23-115008-2_phiX_bestmap.bam
230202YilA,202305842,D23-115009,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115009-1-6110F/230202YilA_D23-115009-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115009-2-6110F/230202YilA_D23-115009-2_phiX_bestmap.bam
230202YilA,202304688,D23-115010,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115010-1-6110F/230202YilA_D23-115010-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115010-2-6110F/230202YilA_D23-115010-2_phiX_bestmap.bam
