Isolate_ID,Cryovial Barcode Number,Source Swab Sample,Primary_Agar,Broth_Media
LV2B000001,K000166057,202305864,MRS,MRS
LV2B000002,K000166074,202305864,MRS,MRS
LV2B000003,K000166096,202305864,MRS,MRS
LV2B000004,K000166100,202305864,MRS,MRS
LV2B000005,K000166053,202305864,MRS,MRS
LV2B000006,K000166070,202305041,MRS,MRS
LV2B000007,K000166085,202305041,MRS,MRS
LV2B000008,K000166077,202305041,MRS,MRS
LV2B000009,K000166064,202305041,MRS,MRS
LV2B000010,K000166094,202305041,MRS,MRS
LV2B000011,N2202I222228,202305803,MRS,MRS
LV2B000012,N2202I255915,202305803,MRS,MRS
LV2B000013,N2202I220082,202305803,MRS,MRS
LV2B000014,N2202I224207,202305803,MRS,MRS
LV2B000015,N2202I269048,202305803,MRS,MRS
LV2B000016,N2202I217450,202305803,MRS,MRS
LV2B000017,N2202I224236,202305803,MRS,MRS
LV2B000018,N2202I247776,202305803,MRS,MRS
LV2B000019,N2202I220858,202305803,MRS,MRS
LV2B000020,N2202I223969,202305803,MRS,MRS
LV2B000021,N2202I224739,202305803,MRS,MRS
LV2B000022,N2202I253466,202305803,MRS,MRS
LV2B000023,N2202I220546,202305803,MRS,MRS
LV2B000024,N2202I254173,202305803,MRS,MRS
LV2B000025,N2202I268305,202305803,MRS,MRS
LV2B000026,N2202I224268,202305803,MRS,MRS
LV2B000027,N2202I233435,202305803,MRS,MRS
LV2B000028,N2202I248357,202305803,MRS,MRS
LV2B000029,N2202I222786,202305803,MRS,MRS
LV2B000030,N2202I247300,202305803,MRS,MRS
LV2B000031,N2202I250784,202305803,MRS,MRS
LV2B000032,N2202I223181,202305803,MRS,MRS
LV2B000033,N2202I219828,202305961,MRS,MRS
LV2B000034,N2202I222590,202305961,MRS,MRS
LV2B000035,N2202I223150,202305961,MRS,MRS
LV2B000036,N2202I220974,202305961,MRS,MRS
LV2B000037,N2202I223179,202305961,MRS,MRS
LV2B000038,N2202I220422,202305961,MRS,MRS
LV2B000039,N2202I244071,202305961,MRS,MRS
LV2B000040,N2202I255157,202305961,MRS,MRS
LV2B000041,N2202I220074,202305961,MRS,MRS
LV2B000042,N2202I233893,202305961,MRS,MRS
LV2B000043,N2202I221317,202305961,MRS,MRS
LV2B000044,N2202I223763,202305961,MRS,MRS
LV2B000045,N2202I224037,202305961,MRS,MRS
LV2B000046,N2202I222222,202305961,MRS,MRS
LV2B000047,N2202I210606,202305961,MRS,MRS
LV2B000048,N2202I254055,202305961,MRS,MRS
LV2B000049,N2202I210291,202306945,MRS,MRS
LV2B000050,N2202I274091,202306945,MRS,MRS
LV2B000051,N2202I221492,202306945,MRS,MRS
LV2B000052,N2202I224133,202306945,MRS,MRS
LV2B000053,N2202I220211,202306945,MRS,MRS
LV2B000054,N2202I223233,202306945,MRS,MRS
LV2B000055,N2202I259641,202306945,MRS,MRS
LV2B000056,N2202I256391,202307029,MRS,MRS
LV2B000057,N2202I256235,202307029,MRS,MRS
LV2B000058,N2202I221239,202307029,MRS,MRS
LV2B000059,N2202I266812,202307029,MRS,MRS
LV2B000060,N2202I219804,202307029,MRS,MRS
LV2B000061,N2202I240194,202307029,MRS,MRS
LV2B000062,N2202I262850,202307029,MRS,MRS
LV2B000063,N2202I223489,202307066,MRS,MRS
LV2B000064,N2202I211972,202307066,MRS,MRS
LV2B000065,N2202I267365,202307066,MRS,MRS
LV2B000066,N2202I246745,202307066,MRS,MRS
LV2B000067,N2202I222956,202307066,MRS,MRS
LV2B000068,N2202I268862,202307066,MRS,MRS
LV2B000069,N2202I251251,202307066,MRS,MRS
LV2B000070,N2202I261151,202307066,MRS,MRS
LV2B000071,N2202I222755,202307066,MRS,MRS
LV2B000072,N2202I219849,202307066,MRS,MRS
LV2B000073,N2202I212493,202307066,MRS,MRS
LV2B000074,N2202I223149,202307199,MRS,MRS
LV2B000075,N2202I258363,202307199,MRS,MRS
LV2B000076,N2202I225096,202307199,MRS,MRS
LV2B000077,N2202I222479,202307199,MRS,MRS
LV2B000078,N2202I222502,202307199,MRS,MRS
