sample	strain	community
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	-1	0.00044783895
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	0	2.5320088e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	1	3.0436868e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	2	4.150756e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	4	1.0429684e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	5	0.9995477
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	6	5.7910405e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	8	9.381105e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	10	6.7979364e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	11	4.3114696e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	14	7.263039e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	15	9.638686e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	16	4.0431974e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	17	4.156398e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	19	5.7905766e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	22	5.477749e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	23	6.794655e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	25	3.5351295e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	27	7.612114e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	29	2.6572227e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	33	9.3062916e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	34	7.8459166e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	39	4.7168385e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	43	2.3620908e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	45	3.0702285e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	46	8.17033e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	47	2.2070033e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	49	4.913589e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	51	6.122733e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	52	9.439229e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	53	3.993766e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	54	5.889242e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	55	2.4399307e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	58	6.8835845e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	59	4.411298e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	60	6.356109e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	62	5.999959e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	63	1.7330956e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	64	9.098064e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	65	5.983011e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	69	5.679621e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	71	1.646244e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	72	3.512564e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	73	6.838836e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	76	8.383381e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	77	5.60769e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	79	1.512677e-08
