user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
LV2B000001	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.86	0.749	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.86	0.749	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.03, 0.472; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.39, 0.476; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 88.03, 0.461; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.31, 0.261; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.22, 0.209; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.06, 0.243; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.53, 0.21; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.44, 0.194; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.12, 0.219; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.1, 0.204; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 81.89, 0.213	94.56	11	N/A	N/A
LV2B000002	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.75	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.75	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.471; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.78, 0.475; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.92, 0.463; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.17, 0.265; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.16, 0.21; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.13, 0.25; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.49, 0.217; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.46, 0.213; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.44, 0.193; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.41, 0.203; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 82.07, 0.212	94.56	11	N/A	N/A
LV2B000003	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.91	0.75	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.91	0.75	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.03, 0.471; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.59, 0.478; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.92, 0.459; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.25, 0.21; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.23, 0.262; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.02, 0.245; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.53, 0.213; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.47, 0.193; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.31, 0.201; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.21, 0.218; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 81.98, 0.214	94.56	11	N/A	N/A
LV2B000004	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.96	0.748	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.96	0.748	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.02, 0.474; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.59, 0.481; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.86, 0.466; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.14, 0.21; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.12, 0.266; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.05, 0.249; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.56, 0.214; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.35, 0.215; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.35, 0.191; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.27, 0.204; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 82.08, 0.212	94.56	11	N/A	N/A
LV2B000005	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.84	0.748	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.84	0.748	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.03, 0.472; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.79, 0.474; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.87, 0.462; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.34, 0.264; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.23, 0.246; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.22, 0.21; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.66, 0.213; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.58, 0.193; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.3, 0.22; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.25, 0.204; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 82.13, 0.213	94.56	11	N/A	N/A
LV2B000006	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.749	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.749	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.03, 0.472; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.59, 0.483; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.99, 0.465; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.25, 0.211; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.11, 0.266; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.04, 0.25; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.46, 0.213; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.44, 0.203; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.41, 0.196; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.25, 0.215; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 81.7, 0.212	94.56	11	N/A	N/A
LV2B000007	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.95	0.749	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.95	0.749	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.03, 0.472; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.73, 0.482; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.92, 0.468; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.34, 0.212; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.12, 0.266; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.09, 0.249; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.59, 0.214; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.52, 0.22; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.43, 0.193; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.33, 0.209; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 82.07, 0.213	94.56	11	N/A	N/A
LV2B000008	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.89	0.75	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.89	0.75	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.03, 0.471; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.59, 0.477; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 88.01, 0.465; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.21, 0.208; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.18, 0.261; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.07, 0.249; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.47, 0.212; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.22, 0.204; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.22, 0.19; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.19, 0.215; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 81.86, 0.208	94.56	11	N/A	N/A
LV2B000009	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.86	0.75	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.86	0.75	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.03, 0.472; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.39, 0.481; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.96, 0.464; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.24, 0.209; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.22, 0.263; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 82.88, 0.249; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.4, 0.215; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.34, 0.195; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.27, 0.203; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.07, 0.213; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 81.65, 0.211	94.56	11	N/A	N/A
LV2B000010	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.89	0.75	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.89	0.75	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.471; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.58, 0.477; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.99, 0.461; GCF_001434975.1, s__Lactobacillus gallinarum, 95.0, 83.25, 0.265; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 83.17, 0.209; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.03, 0.247; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.51, 0.211; GCF_902491705.1, s__Lactobacillus sp902491705, 95.0, 82.42, 0.193; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 82.22, 0.204; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.13, 0.216; GCF_034298135.1, s__Lactobacillus acidophilus, 95.0, 81.91, 0.212	94.56	11	N/A	N/A
