user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
LV2B000001	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.91	0.751	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.47; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.72, 0.477; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.97, 0.469	N/A	N/A	N/A	N/A
LV2B000002	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.03	0.747	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.71, 0.476; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.99, 0.468	N/A	N/A	N/A	N/A
LV2B000003	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.95	0.748	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.93, 0.465; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.46, 0.476	N/A	N/A	N/A	N/A
LV2B000004	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.748	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.58, 0.479; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 88.03, 0.468	N/A	N/A	N/A	N/A
LV2B000005	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.89	0.745	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.58, 0.48; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.91, 0.47	N/A	N/A	N/A	N/A
LV2B000006	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.89	0.75	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.58, 0.482; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.94, 0.471; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.469	N/A	N/A	N/A	N/A
LV2B000007	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.95	0.75	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.469; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.58, 0.477; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 88.02, 0.473	N/A	N/A	N/A	N/A
LV2B000008	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.03	0.75	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.469; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.71, 0.475; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.91, 0.466	N/A	N/A	N/A	N/A
LV2B000009	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.749	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.71, 0.477; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.91, 0.467	N/A	N/A	N/A	N/A
LV2B000010	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.95	0.752	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.51, 0.483; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.469; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.87, 0.468	N/A	N/A	N/A	N/A
